Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

10,13	1,22	4,0	5,9	5,0
10,15	1,23	4,0	5,9	5,0
10,18	1,23	4,0	5,9	5,0
10,20	1,23	4,0	5,9	5,0
10,23	1,23	4,0	5,9	5,0
10,25	1,23	4,0	5,9	5,0
10,28	1,24	4,0	5,9	5,0
10,30	1,23	4,0	5,9	5,0
10,32	1,23	4,0	5,9	5,0
10,35	1,24	4,0	5,9	5,0
10,37	1,24	4,0	5,9	5,0
10,40	1,24	4,0	5,9	5,0
10,42	1,24	4,0	5,9	5,0
10,45	1,25	4,0	5,9	5,0
10,47	1,25	4,0	5,9	5,0
10,50	1,24	4,0	5,9	5,0
10,52	1,25	4,0	5,9	5,0
10,54	1,26	4,0	5,9	5,0
10,57	1,26	4,0	5,9	5,0
10,59	1,26	4,0	5,9	5,0
10,62	1,26	4,0	5,9	5,0
10,64	1,27	4,0	5,9	5,0
10,67	1,27	4,0	5,9	5,0
10,69	1,26	4,0	5,9	5,0
10,72	1,27	4,0	5,9	5,0
10,74	1,27	4,0	5,9	5,0
10,76	1,27	4,0	5,9	5,0
10,79	1,26	4,0	5,9	5,0
10,81	1,27	4,0	5,9	5,0
10,84	1,28	4,0	5,9	5,0
10,86	1,27	4,0	5,9	5,0
10,89	1,27	4,0	5,9	5,0
10,91	1,28	4,0	5,9	5,0
10,94	1,28	4,0	5,9	5,0
10,96	1,27	4,0	5,9	5,0
10,98	1,27	4,0	5,9	5,0
11,01	1,28	4,0	5,9	5,0
11,03	1,28	4,0	5,9	5,0
11,06	1,27	4,0	5,9	5,0
11,08	1,27	4,0	5,9	5,0
11,11	1,28	4,0	5,9	5,0
11,13	1,28	4,0	5,9	5,0
11,15	1,27	4,0	5,9	5,0
11,18	1,27	4,0	5,9	5,0
11,20	1,28	4,0	5,9	5,0
11,23	1,28	4,0	5,9	5,0
11,25	1,27	4,0	5,9	5,0
11,28	1,27	4,0	5,9	5,0
11,30	1,29	4,0	5,9	5,0
11,33	1,29	4,0	5,9	5,0
11,35	1,28	4,0	5,9	5,0
11,37	1,28	4,0	5,9	5,0
11,40	1,29	4,0	5,9	5,0
11,42	1,29	4,0	5,9	5,0
11,45	1,28	4,0	5,9	5,0
11,47	1,27	4,0	5,9	5,0
11,50	1,29	4,0	5,9	5,0
11,52	1,29	4,0	5,9	5,0
11,55	1,28	4,0	5,9	5,0
11,57	1,28	4,0	5,9	5,0
11,59	1,29	4,0	5,9	5,0
11,62	1,30	4,0	5,9	5,0
11,64	1,28	4,0	5,9	5,0
11,67	1,29	4,0	5,9	5,0
11,69	1,30	4,0	5,9	5,0
11,72	1,30	4,0	5,9	5,0
11,74	1,29	4,0	5,9	5,0
11,77	1,29	4,0	5,9	5,0
11,79	1,30	4,0	5,9	5,0
11,81	1,31	4,0	5,9	5,0
11,84	1,30	4,0	5,9	5,0
11,86	1,31	4,0	5,9	5,0
11,89	1,32	4,0	5,9	5,0
11,91	1,31	4,0	5,9	5,0
11,94	1,32	4,0	5,9	5,0
11,96	1,31	4,0	5,9	5,0
11,99	1,31	4,0	5,9	5,0
12,01	1,32	4,0	5,9	5,0
12,03	1,32	4,0	5,9	5,0
12,06	1,32	4,0	5,9	5,0
12,08	1,31	4,0	5,9	5,0
12,11	1,32	4,0	5,9	5,0
12,13	1,33	4,0	5,9	5,0
12,16	1,32	4,0	5,9	5,0
12,18	1,32	4,0	5,9	5,0
12,21	1,33	4,0	5,9	5,0
12,23	1,33	4,0	5,9	5,0
12,25	1,33	4,0	5,9	5,0
12,28	1,33	4,0	5,9	5,0
12,30	1,34	4,0	5,9	5,0
12,33	1,34	4,0	5,9	5,0
12,35	1,33	4,0	5,9	5,0
12,38	1,33	4,0	5,9	5,0
12,40	1,34	4,0	5,9	5,0
12,42	1,34	4,0	5,9	5,0
12,45	1,34	4,0	5,9	5,0
12,47	1,34	4,0	5,9	5,0
12,50	1,35	4,0	5,9	5,0
12,52	1,35	4,0	5,9	5,0
12,55	1,34	4,0	5,9	5,0
12,57	1,35	4,0	5,9	5,0
12,60	1,34	4,0	5,9	5,0
12,62	1,35	4,0	5,9	5,0
12,64	1,35	4,0	5,9	5,0
12,67	1,34	4,0	5,9	5,0
12,69	1,34	4,0	5,9	5,0
12,72	1,35	4,0	5,9	5,0
12,74	1,35	4,0	5,9	5,0
12,77	1,35	4,0	5,9	5,0
12,79	1,35	4,0	5,9	5,0
12,82	1,36	4,0	5,9	5,0
12,84	1,36	4,0	5,9	5,0
12,86	1,35	4,0	5,9	5,0
12,89	1,34	4,0	5,9	5,0
12,91	1,35	4,0	5,9	5,0
12,94	1,35	4,0	5,9	5,0
12,96	1,34	4,0	5,9	5,0
12,99	1,34	4,0	5,9	5,0
13,01	1,35	4,0	5,9	5,0
13,04	1,36	4,0	5,9	5,0
13,06	1,34	4,0	5,9	5,0
13,08	1,34	4,0	5,9	5,0
13,11	1,34	4,0	5,9	5,0
13,13	1,34	4,0	5,9	5,0
13,16	1,32	4,0	5,9	5,0
13,18	1,32	4,0	5,9	5,0
13,21	1,33	4,0	5,9	5,0
13,23	1,33	4,0	5,9	5,0
13,26	1,31	4,0	5,9	5,0
13,28	1,31	4,0	5,9	5,0
13,30	1,31	4,0	5,9	5,0
13,33	1,31	4,0	5,9	5,0
13,35	1,29	4,0	5,9	5,0
13,38	1,27	4,0	5,9	5,0
13,40	1,28	4,0	5,9	5,0
13,43	1,27	4,0	5,9	5,0
13,45	1,25	4,0	5,9	5,0
13,47	1,24	4,0	5,9	5,0
13,50	1,24	4,0	5,9	5,0
13,52	1,24	4,0	5,9	5,0
13,55	1,22	4,0	5,9	5,0
13,57	1,21	4,0	5,9	5,0
13,60	1,21	4,0	5,9	5,0
13,62	1,20	4,0	5,9	5,0
13,65	1,18	4,0	5,9	5,0
13,67	1,16	4,0	5,9	5,0
13,69	1,16	4,0	5,9	5,0
13,72	1,15	4,0	5,9	5,0
