Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

7,39	1,78	7,0	5,8	5,5
7,42	1,78	7,0	5,8	5,5
7,44	1,80	7,0	5,8	5,5
7,47	1,80	7,0	5,8	5,5
7,49	1,80	7,0	5,8	5,5
7,52	1,81	7,0	5,8	5,5
7,54	1,82	7,0	5,8	5,5
7,57	1,83	7,0	5,8	5,5
7,59	1,83	7,0	5,8	5,5
7,61	1,83	7,0	5,8	5,5
7,64	1,85	7,0	5,8	5,5
7,66	1,85	7,0	5,8	5,5
7,69	1,85	7,0	5,8	5,5
7,71	1,85	7,0	5,8	5,5
7,74	1,86	7,0	5,8	5,5
7,76	1,88	7,0	5,8	5,5
7,78	1,88	7,0	5,8	5,5
7,81	1,87	7,0	5,8	5,5
7,83	1,88	7,0	5,8	5,5
7,86	1,89	7,0	5,8	5,5
7,88	1,90	7,0	5,8	5,5
7,91	1,89	7,0	5,8	5,5
7,93	1,90	7,0	5,8	5,5
7,96	1,92	7,0	5,8	5,5
7,98	1,92	7,0	5,8	5,5
8,00	1,92	7,0	5,8	5,5
8,03	1,93	7,0	5,8	5,5
8,05	1,94	7,0	5,8	5,5
8,08	1,95	7,0	5,8	5,5
8,10	1,94	7,0	5,8	5,5
8,13	1,94	7,0	5,8	5,5
8,15	1,96	7,0	5,8	5,5
8,18	1,96	7,0	5,8	5,5
8,20	1,96	7,0	5,8	5,5
8,22	1,96	7,0	5,8	5,5
8,25	1,98	7,0	5,8	5,5
8,27	1,98	7,0	5,8	5,5
8,30	1,97	7,0	5,8	5,5
8,32	1,98	7,0	5,8	5,5
8,35	1,99	7,0	5,8	5,5
8,37	1,99	7,0	5,8	5,5
8,40	1,99	7,0	5,8	5,5
8,42	2,00	7,0	5,8	5,5
8,44	2,01	7,0	5,8	5,5
8,47	2,02	7,0	5,8	5,5
8,49	2,01	7,0	5,8	5,5
8,52	2,02	7,0	5,8	5,5
8,54	2,04	7,0	5,8	5,5
8,57	2,03	7,0	5,8	5,5
8,59	2,03	7,0	5,8	5,5
8,62	2,04	7,0	5,8	5,5
8,64	2,05	7,0	5,8	5,5
8,66	2,05	7,0	5,8	5,5
8,69	2,05	7,0	5,8	5,5
8,71	2,06	7,0	5,8	5,5
8,74	2,07	7,0	5,8	5,5
8,76	2,07	7,0	5,8	5,5
8,79	2,07	7,0	5,8	5,5
8,81	2,08	7,0	5,8	5,5
8,84	2,08	7,0	5,8	5,5
8,86	2,08	7,0	5,8	5,5
8,88	2,08	7,0	5,8	5,5
8,91	2,09	7,0	5,8	5,5
8,93	2,10	7,0	5,8	5,5
8,96	2,10	7,0	5,8	5,5
8,98	2,10	7,0	5,8	5,5
9,01	2,12	7,0	5,8	5,5
9,03	2,12	7,0	5,8	5,5
9,05	2,12	7,0	5,8	5,5
9,08	2,12	7,0	5,8	5,5
9,10	2,13	7,0	5,8	5,5
9,13	2,13	7,0	5,8	5,5
9,15	2,13	7,0	5,8	5,5
9,18	2,14	7,0	5,8	5,5
9,20	2,15	7,0	5,8	5,5
9,23	2,15	7,0	5,8	5,5
9,25	2,15	7,0	5,8	5,5
9,27	2,15	7,0	5,8	5,5
9,30	2,17	7,0	5,8	5,5
9,32	2,17	7,0	5,8	5,5
9,35	2,16	7,0	5,8	5,5
9,37	2,17	7,0	5,8	5,5
9,40	2,18	7,0	5,8	5,5
9,42	2,18	7,0	5,8	5,5
9,45	2,18	7,0	5,8	5,5
9,47	2,18	7,0	5,8	5,5
9,49	2,19	7,0	5,8	5,5
9,52	2,19	7,0	5,8	5,5
9,54	2,20	7,0	5,8	5,5
9,57	2,20	7,0	5,8	5,5
9,59	2,20	7,0	5,8	5,5
9,62	2,21	7,0	5,8	5,5
9,64	2,21	7,0	5,8	5,5
9,67	2,21	7,0	5,8	5,5
9,69	2,22	7,0	5,8	5,5
9,71	2,23	7,0	5,8	5,5
9,74	2,23	7,0	5,8	5,5
9,76	2,23	7,0	5,8	5,5
9,79	2,23	7,0	5,8	5,5
9,81	2,24	7,0	5,8	5,5
9,84	2,24	7,0	5,8	5,5
9,86	2,24	7,0	5,8	5,5
9,89	2,25	7,0	5,8	5,5
9,91	2,26	7,0	5,8	5,5
9,93	2,26	7,0	5,8	5,5
9,96	2,26	7,0	5,8	5,5
9,98	2,26	7,0	5,8	5,5
10,01	2,27	7,0	5,8	5,5
10,03	2,27	7,0	5,8	5,5
10,06	2,27	7,0	5,8	5,5
10,08	2,27	7,0	5,8	5,5
10,10	2,28	7,0	5,8	5,5
10,13	2,28	7,0	5,8	5,5
10,15	2,29	7,0	5,8	5,5
10,18	2,29	7,0	5,8	5,5
10,20	2,29	7,0	5,8	5,5
10,23	2,30	7,0	5,8	5,5
10,25	2,31	7,0	5,8	5,5
10,28	2,30	7,0	5,8	5,5
10,30	2,30	7,0	5,8	5,5
10,32	2,31	7,0	5,8	5,5
10,35	2,32	7,0	5,8	5,5
10,37	2,32	7,0	5,8	5,5
10,40	2,32	7,0	5,8	5,5
10,42	2,33	7,0	5,8	5,5
10,45	2,33	7,0	5,8	5,5
10,47	2,33	7,0	5,8	5,5
10,50	2,33	7,0	5,8	5,5
10,52	2,34	7,0	5,8	5,5
10,54	2,34	7,0	5,8	5,5
10,57	2,34	7,0	5,8	5,5
10,59	2,34	7,0	5,8	5,5
10,62	2,35	7,0	5,8	5,5
10,64	2,35	7,0	5,8	5,5
10,67	2,35	7,0	5,8	5,5
10,69	2,35	7,0	5,8	5,5
10,72	2,36	7,0	5,8	5,5
10,74	2,36	7,0	5,8	5,5
10,76	2,36	7,0	5,8	5,5
10,79	2,36	7,0	5,8	5,5
