Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

8,49	29,21	1,0	5,9	7,0
8,52	29,27	1,0	5,9	7,0
8,54	29,38	1,0	5,9	7,0
8,57	29,42	1,0	5,9	7,0
8,59	29,40	1,0	5,9	7,0
8,62	29,48	1,0	5,9	7,0
8,64	29,60	1,0	5,9	7,0
8,66	29,63	1,0	5,9	7,0
8,69	29,63	1,0	5,9	7,0
8,71	29,71	1,0	5,9	7,0
8,74	29,82	1,0	5,9	7,0
8,76	29,86	1,0	5,9	7,0
8,79	29,85	1,0	5,9	7,0
8,81	29,92	1,0	5,9	7,0
8,84	30,03	1,0	5,9	7,0
8,86	30,06	1,0	5,9	7,0
8,88	30,07	1,0	5,9	7,0
8,91	30,16	1,0	5,9	7,0
8,93	30,27	1,0	5,9	7,0
8,96	30,30	1,0	5,9	7,0
8,98	30,31	1,0	5,9	7,0
9,01	30,39	1,0	5,9	7,0
9,03	30,50	1,0	5,9	7,0
9,05	30,53	1,0	5,9	7,0
9,08	30,52	1,0	5,9	7,0
9,10	30,62	1,0	5,9	7,0
9,13	30,73	1,0	5,9	7,0
9,15	30,75	1,0	5,9	7,0
9,18	30,76	1,0	5,9	7,0
9,20	30,86	1,0	5,9	7,0
9,23	30,96	1,0	5,9	7,0
9,25	30,97	1,0	5,9	7,0
9,27	30,98	1,0	5,9	7,0
9,30	31,08	1,0	5,9	7,0
9,32	31,18	1,0	5,9	7,0
9,35	31,18	1,0	5,9	7,0
9,37	31,20	1,0	5,9	7,0
9,40	31,32	1,0	5,9	7,0
9,42	31,42	1,0	5,9	7,0
9,45	31,42	1,0	5,9	7,0
9,47	31,44	1,0	5,9	7,0
9,49	31,56	1,0	5,9	7,0
9,52	31,65	1,0	5,9	7,0
9,54	31,65	1,0	5,9	7,0
9,57	31,67	1,0	5,9	7,0
9,59	31,78	1,0	5,9	7,0
9,62	31,88	1,0	5,9	7,0
9,64	31,88	1,0	5,9	7,0
9,67	31,97	1,0	5,9	7,0
9,69	32,11	1,0	5,9	7,0
9,71	32,13	1,0	5,9	7,0
9,74	32,11	1,0	5,9	7,0
9,76	32,21	1,0	5,9	7,0
9,79	32,34	1,0	5,9	7,0
9,81	32,36	1,0	5,9	7,0
9,84	32,35	1,0	5,9	7,0
9,86	32,46	1,0	5,9	7,0
9,89	32,60	1,0	5,9	7,0
9,91	32,63	1,0	5,9	7,0
9,93	32,61	1,0	5,9	7,0
9,96	32,74	1,0	5,9	7,0
9,98	32,80	1,0	5,9	7,0
10,01	32,80	1,0	5,9	7,0
10,03	32,86	1,0	5,9	7,0
10,06	32,99	1,0	5,9	7,0
10,08	33,06	1,0	5,9	7,0
10,10	33,06	1,0	5,9	7,0
10,13	33,12	1,0	5,9	7,0
10,15	33,25	1,0	5,9	7,0
10,18	33,30	1,0	5,9	7,0
10,20	33,30	1,0	5,9	7,0
10,23	33,38	1,0	5,9	7,0
10,25	33,51	1,0	5,9	7,0
10,28	33,56	1,0	5,9	7,0
10,30	33,57	1,0	5,9	7,0
10,32	33,65	1,0	5,9	7,0
10,35	33,77	1,0	5,9	7,0
10,37	33,83	1,0	5,9	7,0
10,40	33,83	1,0	5,9	7,0
10,42	33,91	1,0	5,9	7,0
10,45	34,06	1,0	5,9	7,0
10,47	34,09	1,0	5,9	7,0
10,50	34,10	1,0	5,9	7,0
10,52	34,19	1,0	5,9	7,0
10,54	34,31	1,0	5,9	7,0
10,57	34,35	1,0	5,9	7,0
10,59	34,36	1,0	5,9	7,0
10,62	34,46	1,0	5,9	7,0
10,64	34,59	1,0	5,9	7,0
10,67	34,62	1,0	5,9	7,0
10,69	34,63	1,0	5,9	7,0
10,72	34,74	1,0	5,9	7,0
10,74	34,86	1,0	5,9	7,0
10,76	34,90	1,0	5,9	7,0
10,79	34,90	1,0	5,9	7,0
10,81	35,01	1,0	5,9	7,0
10,84	35,13	1,0	5,9	7,0
10,86	35,16	1,0	5,9	7,0
10,89	35,18	1,0	5,9	7,0
10,91	35,30	1,0	5,9	7,0
10,94	35,41	1,0	5,9	7,0
10,96	35,44	1,0	5,9	7,0
10,98	35,47	1,0	5,9	7,0
11,01	35,59	1,0	5,9	7,0
11,03	35,71	1,0	5,9	7,0
11,06	35,73	1,0	5,9	7,0
11,08	35,77	1,0	5,9	7,0
11,11	35,92	1,0	5,9	7,0
11,13	36,03	1,0	5,9	7,0
11,15	36,05	1,0	5,9	7,0
11,18	36,08	1,0	5,9	7,0
11,20	36,21	1,0	5,9	7,0
11,23	36,33	1,0	5,9	7,0
11,25	36,35	1,0	5,9	7,0
11,28	36,39	1,0	5,9	7,0
11,30	36,55	1,0	5,9	7,0
11,33	36,67	1,0	5,9	7,0
11,35	36,67	1,0	5,9	7,0
11,37	36,73	1,0	5,9	7,0
11,40	36,87	1,0	5,9	7,0
11,42	36,97	1,0	5,9	7,0
11,45	36,98	1,0	5,9	7,0
11,47	37,04	1,0	5,9	7,0
11,50	37,19	1,0	5,9	7,0
11,52	37,30	1,0	5,9	7,0
11,55	37,30	1,0	5,9	7,0
11,57	37,37	1,0	5,9	7,0
11,59	37,53	1,0	5,9	7,0
11,62	37,62	1,0	5,9	7,0
11,64	37,61	1,0	5,9	7,0
11,67	37,70	1,0	5,9	7,0
11,69	37,85	1,0	5,9	7,0
11,72	37,93	1,0	5,9	7,0
11,74	37,95	1,0	5,9	7,0
11,77	38,05	1,0	5,9	7,0
11,79	38,21	1,0	5,9	7,0
11,81	38,30	1,0	5,9	7,0
11,84	38,32	1,0	5,9	7,0
11,86	38,41	1,0	5,9	7,0
11,89	38,57	1,0	5,9	7,0
11,91	38,63	1,0	5,9	7,0
11,94	38,66	1,0	5,9	7,0
11,96	38,78	1,0	5,9	7,0
11,99	38,96	1,0	5,9	7,0
12,01	39,03	1,0	5,9	7,0
12,03	39,07	1,0	5,9	7,0
12,06	39,19	1,0	5,9	7,0
12,08	39,35	1,0	5,9	7,0
12,11	39,36	1,0	5,9	7,0
12,13	39,42	1,0	5,9	7,0
12,16	39,60	1,0	5,9	7,0
12,18	39,73	1,0	5,9	7,0
12,21	39,76	1,0	5,9	7,0
12,23	39,85	1,0	5,9	7,0
12,25	40,02	1,0	5,9	7,0
12,28	40,14	1,0	5,9	7,0
12,30	40,15	1,0	5,9	7,0
12,33	40,24	1,0	5,9	7,0
12,35	40,43	1,0	5,9	7,0
12,38	40,55	1,0	5,9	7,0
12,40	40,57	1,0	5,9	7,0
12,42	40,73	1,0	5,9	7,0
12,45	40,89	1,0	5,9	7,0
12,47	40,96	1,0	5,9	7,0
12,50	41,02	1,0	5,9	7,0
12,52	41,19	1,0	5,9	7,0
12,55	41,34	1,0	5,9	7,0
